filename,method,n_residues,rama_favored,rama_allowed,rama_outlier,rama_favored_frac,rama_allowed_frac,rama_outlier_frac,clashscore,n_clashes,clashscore_error,error
laproteina_001.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_002.pdb,laproteina,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_003.pdb,laproteina,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_004.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_005.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_006.pdb,laproteina,198,197,0,1,0.9949,0.0,0.0051,NA,NA,skipped by --skip-clashscore,
laproteina_007.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_008.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_009.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_010.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_011.pdb,laproteina,198,196,2,0,0.9899,0.0101,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_012.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_013.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_014.pdb,laproteina,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_015.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_016.pdb,laproteina,198,196,2,0,0.9899,0.0101,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_017.pdb,laproteina,198,194,4,0,0.9798,0.0202,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_018.pdb,laproteina,198,194,3,1,0.9798,0.0152,0.0051,NA,NA,skipped by --skip-clashscore,
laproteina_019.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
